# Sample Google Sheet Data with Images
# Copy this data to your Google Sheet "menu1"

# Column Headers (Row 1):
ID | Name | Description | Price | Category | Image URL

# Sample Data (Starting from Row 2):

item1 | Paneer Tikka | Grilled cottage cheese with spices | 250 | Starters | https://images.unsplash.com/photo-1567188040759-fb8a883dc6d8?w=400&h=300&fit=crop

item2 | Butter Chicken | Creamy tomato-based chicken curry | 350 | Main Course | https://images.unsplash.com/photo-1603894584373-5ac82b2ae398?w=400&h=300&fit=crop

item3 | Masala Dosa | Crispy rice crepe with potato filling | 180 | Main Course | https://images.unsplash.com/photo-1630383249896-424e482df921?w=400&h=300&fit=crop

item4 | Gulab Jamun | Sweet milk dumplings in sugar syrup | 120 | Desserts | https://images.unsplash.com/photo-1551024506-0bccd828d307?w=400&h=300&fit=crop

item5 | Margherita Pizza | Classic cheese pizza with tomato sauce | 299 | Pizza | https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=400&h=300&fit=crop

item6 | Veg Burger | Grilled veggie patty with fresh veggies | 150 | Burger | https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=400&h=300&fit=crop

item7 | Hakka Noodles | Stir-fried noodles with vegetables | 180 | Chinese | https://images.unsplash.com/photo-1612929633738-8fe44f7ec841?w=400&h=300&fit=crop

item8 | Mango Lassi | Sweet yogurt drink with mango | 80 | Beverages | https://images.unsplash.com/photo-1544145945-f90425340c7e?w=400&h=300&fit=crop

item9 | Samosa | Crispy fried pastry with potato filling | 40 | Snacks | https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400&h=300&fit=crop

item10 | Biryani | Aromatic rice with spices and meat | 280 | Main Course | https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=400&h=300&fit=crop

# Note: All image URLs above are from Unsplash (free stock photos)
# You can replace them with your own images from:
# - Google Drive (use direct link format)
# - ImgBB, Imgur, or other image hosting
# - Your own website/server

# If you leave Image URL column blank, automatic category-based placeholder will show!

# Example with blank image (will show automatic placeholder):
item11 | Chole Bhature | Spicy chickpeas with fried bread | 160 | Main Course |
